ab-01|Dunque.
ab-147|E i lebbrosi con le loro dita sanguinanti e piene di piaghe pescano e francesco pesca.
ab-148|E dice tommaso da celano: e gli altri frati stavano a guardare molto addolorati e incerti su cosa dovevano pensare.
ab-149|I capi dell'ordine francescano dicono a tommaso: ma francesco non era così!.
ab-150|francesco era grande francesco non sbagliava mai!.
ab-151|toglile un po' di queste cose.
ab-152|E francesco e tommaso da celano scrive la vita seconda.
ab-153|In cui risulta che i genitori di francesco erano molto religiosi e pii.
ab-154|E che francesco fin da bambino aveva la vocazione religiosa e così via, e così via.
ab-155|Però i leader dell'ordine francescano gli dicono: tommaso, però non hai mica parlato abbastanza dei miracoli.
ab-156|Francesco è un grande santo ha fatto tanti miracoli, scrivi!.
ab-157|E tommaso da celano scrive una terza vita di san francesco dove ci mette tutti i miracoli, e però nell'introduzione dice,
ab-158|più o meno adesso basta non possono pretendere che io dica che il quadro e tondo.
ab-159|e quindi certi di quei racconti scomodi li lascia.
ab-160|Finché un po di anni dopo il generale dell'ordine francescano, san bonaventura.
ab-161|Decide che effettivamente non va bene. L'immagine di francesco non può essere affidata a questi testi, bisogna scriverne un'altra biografia quella veramente autorizzata, definitiva.
ab-162|Bonaventura scrive la legenda maior.
ab-163|In cui tutte le cose sgradevoli sono sparite, Francesco non ha mai un dubbio.
ab-164|Francesco non esita mai, non sbaglia mai è sempre serafico e sorridente e soprattutto è inimitabile è un altro cristo.
ab-165|è inutile che i francescani stiano a dire dovremmo stare scalzi come lui no no è impossibile ormai l'ordine non più tanta voglia di estremismi.
ab-166|E bonaventura da all'ordine quello che serve in quel momento per motivare i membri. Francesco era un altro cristo non è che possiamo imitarlo, noi poveri uomini. Dopodiché.
ab-167|Bonaventura manda una circolare a tutti i conventi francescani.
ab-168|Dicendo: adesso voi andate in biblioteca.
ab-169|Prendete tutte le vite di san francesco che avete e le bruciate.
ab-170|E io vi manderò.
ab-171|quella definitiva in sostituzione.
ab-172|E per secoli nessuno ha saputo niente delle vite scritte da tommaso da celano e da altri.
ab-173|poi tra otto e novecento in qualche monastero benedettino.
ab-174|dove delle circolari dei francescani se ne infischiavano sono stati ritrovati singoli esemplari di queste vite e si è visto che la immagine di francesco che avevamo era tutta diversa da quella da quella che si credeva, che che era in realtà insomma!.
ab-175|L'ho fatta lunga perché è un esempio straordinario questo di come nel medioevo si può costruire e stravolgere la biografia di un grande personaggio in questo caso il fondatore di un ordine.
ab-176|per dei motivi precisi all'ordine serve che l'immagine sia quella e non un'altra.
ab-177|finché uno è vivo.
ab-178|può dare un'impronta.
ab-179|quando poi muore, non è detto che continui.
ab-180|e certe volte anche da vivo non si riesce. Prima accennavo un possibile parallelo tra san francesco e steve jobs.
ab-181|steve jobs.
ab-182|ha questo per esempio in comune con san francesco: le idee chiarissime sull'importanza del look.
ab-183|Questa organizzazione deve essere composta da persone riconoscibili all'aspetto.
ab-184|forse non tutti sanno che.
ab-185|tutti sanno naturalmente che steve jobs andavasempre in giro con un maglioncino nero a collo alto e jeans.
ab-186|io non avevo mai fatto caso che dovessero essere jeans senza cintura.
ab-187|ma la biografia autorizzata di steve jobs.
ab-188|quella di isaacson di walter isaacson.ci svela che invece il look era proprio quello: jeans senza cintura e maglioncino nero.,
ab-189|Quello che svela il biografo è che steve jobs.
ab-190|che il biografo tanto per non perdere l'analogia, spesso chiama il visionario.
ab-191|steve jobs fra le altre visioni che aveva per il futuro della apple.
ab-192|ha tentato più volte di imporre a tutti i membri dell'or dell'azienda.
ab-193|di portare lo stesso abbigliamento.
ab-194|più volte ha cercato di convincerli che ogni dipendente della apple doveva avere lo stesso maglioncino nero e gli stessi jeans senza cintura.
ab-195|poi.
ab-196|non c'è mai riuscito.
ab-197|a cupertino gli hanno sempre detto che loro volevano continuare a vestirsi come volevano loro jobs alla fine ha rinunciato però a quel punto ha deciso che lui almeno non avrebbe più ceduto.
ab-198|e deliberatamente si è sempre vestito allo stesso modo non aveva altri abiti. Quando il biografo va a trovarlo.
ab-199|job la biografia è stata scritta ha cominciato a scrivere quando era ancora vivo e jobs lo porta nel suo guardaroba dove ha un centinaio di maglioncini neri tutti uguali.
ab-200|e gli dice questo è il mio abbigliamento.
ab-201|calcolo che mi bastino per il resto della vita.
ab-202|previsione corretta fra l'altro.
ab-203|Francesco invece è riuscito a imporre ai suoi frati di vestirsi tutti allo stesso modo.
ab-204|finché era vivo.
ab-205|perché sembra che i francescani si vestano sempre così.
ab-206|in realtà francesco ai frati ha detto chiaramente: guardate come si vestono i poveri, guardate come si vestono i braccianti.
ab-207|un saio di tela di sacco una corda alla vita perché non possono pagarsi una cintura di pelle è un cappuccio.
ab-208|questo è un dettaglio che a noi moderni rischia di sfuggire l'occhio per i dettagli della moda. Loro invece lo vedevano al volo lo vedi come vestono i contadini? un cappuccio a punta.
ab-209|è una cosa che piace ai poveri contadini i giovani snob di città come era francesco da giovane quindi lui lo sa bene ai giovani snob di città quel quei cappucci a punta non li metterebbero mai.
ab-210|cappucci ampi arrotondati.
ab-211|francesco impone il saio fatto di tela di sacco col cappuccio da contadino.
ab-212|appena è morto.
ab-213|cominciano a comparire i sai di stoffe più pregiate
ab-214|comodi ben tagliati e il cappuccio.
ab-215|si arrotonda.
ab-216|si amplia diventa un cappuccio alla moda come lo portano i giovanotti eleganti non più il cappuccio a punta da contadini.
ab-217|sembra una cosa da niente ma gli storici dell'arte.
ab-218|con le tecnologie di cui dispongono oggi hanno visto che in diverse tavole.
ab-219|dipinte dell'epoca in cui era raffigurato san francesco,,
ab-220|a un certo punto è stato fatto un piccolo intervento hanno cancellato il cappuccio a punta.
ab-221|e gli hanno rimesso il cappuccio bello arrotondato alla moda.
ab-222|dopodiché gruppetti di frati francescani continuano a ricordarsi che non era quella l'idea di francesco vanno avanti secoli con questa minoranza che litiga fino a quando la minoranza non decide di uscire e di fondare, come sapete l'ordine dei cappuccini.
ab-223|che si chiamano così esclusivamente per via della valenza simbolica che loro percepivano in questo in questo cappuccio.
ab-224|ora questa faccenda.
ab-225|dell'abito uguale per tutti.
ab-226|non è soltanto come poteva pensare francesco di imporre come dire ai frati di essere veramente umili.
ab-227|di essere veramente uguali agli ultimi.
ab-228|ma c'è anche un'altra cosa che anche francesco sicuramente sapeva.
ab-229|che bisogna essere riconoscibili.
ab-230|per gli ordini religiosi del medioevo la riconoscibilità è un elemento fondamentale del successo perché sono in concorrenza fra loro.,,
ab-231|tanto per fare un esempio.
ab-232|c'è una fase in cui tra i monaci benedettini il monastero di cluny è particolarmente autorevole conosciuto, molti altri monasteri.
ab-233|si sottomettono all'abate di cluny, gli chiedono mandaci uno dei tuoi per insegnarci come si fa è una specie di franchising questo.
ab-234|per molto tempo i benedettini sono soprattutto cluniacensi.
ab-235|poi viene il momento in cui nasce un nuovo monastero molto ambizioso.
ab-236|che vuole sostituire cluny.
ab-237|e diventare il nuovo monastero guida del mondo benedettino è il monastero di sitò, sono i cistercensi.
ab-238|che hanno intenzione di sostituire i monaci cluniacensi come ordine di successo.
ab-240|non ribadirò mai abbastanza che ordine di successo vuol dire un ordine che attira non soltanto reclute ma donazioni elemosine donazioni anche molto consistenti.
ab-241|e quando poi a forza di ricevere donazioni ai monasteri i priorati in tutta europa come hanno i cluniacensi eh bè a quel punto l'abate di cluny diventa uno degli uomini più potenti della cristianità.
ab-242|è il suo posto che vorrebbe prendere la batte di sitò.
ab-243|e i cistercensi cominciano a studiare come fare per soppiantare i cluniacensi vanno a rileggere la regola benedettina.
ab-244|e scoprono che nella regola benedettina.
ab-245|non c'è scritto da nessuna parte di che colore deve essere l'abito.
ab-246|deve essere una tonaca modesta.
ab-247|di stoffa non tinta in colori vistosi ma il colore non è precisato fino a quel momento per consuetudine i monaci benedettini e specialmente cluniacensi vestivano di nero.
ab-248|i cistercensi vestiranno di bianco.
ab-249|devono essere immediatamente riconoscibili noi siamo diversi.
ab-250|e c'è anche come dire una capacità di marketing in questo nel cogliere la capacità del pubblico.
